,time,flux,err
217097,-1745.3781421794556,1.0015668,40.611305
217098,-1745.3774610706605,1.0001959,40.59192
217099,-1745.376779862214,1.0004295,40.596207
217100,-1745.3760987534188,0.9999613,40.586
217101,-1745.3754176446237,1.0010303,40.5996
217102,-1745.3747365358286,0.99887323,40.569492
217103,-1745.3740554270337,1.0003408,40.588787
217104,-1745.373374318704,1.00064,40.598476
217105,-1745.3726931097915,1.0008923,40.59805
217106,-1745.3720120009966,0.9990695,40.572304
217107,-1745.3713308926672,0.99940675,40.58023
217108,-1745.370649783872,1.0011017,40.60393
217109,-1745.3699685754254,1.0013777,40.608524
217110,-1745.369287566282,1.0011861,40.605984
217111,-1745.3686064579524,1.000602,40.600235
217112,-1745.36792524904,1.0004401,40.60424
217113,-1745.367244140245,1.0002266,40.600677
217114,-1745.36656303145,0.9989038,40.58906
217115,-1745.3658818230033,1.0000924,40.60361
217116,-1745.3652007142082,1.0007921,40.61535
217117,-1745.3645196058787,0.9996235,40.603672
217118,-1745.3638385972008,1.0005064,40.61998
217119,-1745.3631573882883,0.9996454,40.614407
217120,-1745.3624762794934,1.0008222,40.627136
217121,-1745.3617950710468,1.0000144,40.62526
217122,-1745.3611139622517,1.000196,40.63454
217123,-1745.3604328534566,1.0000736,40.635204
217124,-1745.35975164501,0.9988587,40.62424
217125,-1745.3590705362149,0.99975187,40.63712
217126,-1745.358389527537,0.998704,40.625824
217127,-1745.3577083186246,0.9999876,40.647823
217128,-1745.3570272098295,1.0002143,40.65316
217129,-1745.3563461015,1.0003592,40.66448
217130,-1745.3556648925878,0.999547,40.657166
217131,-1745.3549837837927,0.9990548,40.65595
217132,-1745.354302575346,0.99974424,40.66671
217133,-1745.353621466551,0.9996668,40.669575
217134,-1745.352940457873,0.999054,40.666298
217135,-1745.352259349078,0.9994633,40.67523
217136,-1745.351578140631,1.0003278,40.69086
217137,-1745.3508970318362,1.0001915,40.689434
217138,-1745.350215923041,0.9981446,40.669033
217139,-1745.3495347145945,1.0000776,40.700012
217140,-1745.3488536057994,1.002005,40.723328
217141,-1745.3481724970045,0.99947584,40.692688
217142,-1745.3474913882092,1.000474,40.708874
217143,-1745.346810279414,1.0004665,40.71091
217144,-1745.3461291710846,0.99998605,40.713562
217145,-1745.3454479621723,1.0002455,40.7166
217146,-1745.3447668533772,1.0014274,40.73193
217147,-1745.3440857450478,1.0003935,40.723495
217148,-1745.343404636253,1.0018,40.739555
217149,-1745.3427234273404,0.99894774,40.710285
217150,-1745.3420423185453,1.0010147,40.734234
217151,-1745.3413613098674,1.000986,40.737225
217152,-1745.3406801014207,1.0007529,40.736565
217153,-1745.3399989926256,0.9999251,40.73098
217154,-1745.3393178838303,0.99947125,40.723534
217155,-1745.338636675384,0.99956,40.729435
217156,-1745.3379555665888,1.0010034,40.747063
217157,-1745.3372744577937,0.99951273,40.726845
217158,-1745.336593249347,0.9991492,40.728157
217159,-1745.3359122402037,0.999562,40.73188
217160,-1745.335231131874,1.0010537,40.747375
217161,-1745.334550023079,1.0005985,40.744606
217162,-1745.3338688141666,0.99985796,40.738274
217163,-1745.3331877053715,1.0003202,40.742886
217164,-1745.332506496925,0.999261,40.733242
217165,-1745.3318253881298,0.9996836,40.73564
217166,-1745.3311442793347,0.99957794,40.73737
217167,-1745.3304632706568,1.0002818,40.74219
217168,-1745.32978206221,0.9991938,40.730396
217169,-1745.329100953415,0.99978906,40.738266
217170,-1745.3284197445028,0.99943805,40.732445
217171,-1745.3277386361733,0.9983876,40.717693
217172,-1745.3270575273782,1.0007259,40.747673
217173,-1745.326376318466,1.0002327,40.74262
217174,-1745.3256952096708,0.99931115,40.72671
217175,-1745.3250142009929,0.9993359,40.73028
217176,-1745.3243329925465,1.0003774,40.73936
217177,-1745.3236518837512,0.9996815,40.72977
217178,-1745.322970774956,0.9988745,40.71569
217179,-1745.3222895665094,0.9995488,40.7225
217180,-1745.3216084577143,1.0003809,40.734856
217181,-1745.3209273489192,1.0007601,40.73647
217182,-1745.320246140007,0.9994127,40.716965
217183,-1745.319565131329,1.0009373,40.734013
217184,-1745.3188840229996,1.0019071,40.745636
217185,-1745.3182029142044,0.9985667,40.697746
217186,-1745.3175217052922,1.0012623,40.7318
217187,-1745.316840596497,0.9998393,40.7148
217188,-1745.316159487702,1.0001094,40.713734
217189,-1745.315478279255,1.0015131,40.729736
217190,-1745.3147971704602,1.0007308,40.716248
217191,-1745.31343495287,1.0010931,40.715305
217192,-1745.3127538445406,1.0007367,40.70883
217193,-1745.3120727357457,0.99878424,40.674675
217194,-1745.3113915268332,1.0024629,40.72324
217195,-1745.310710418038,0.9999896,40.687862
217196,-1745.3100293097086,0.99881566,40.666378
217197,-1745.3093482009135,1.0008489,40.69121
